Source,Site,Phase,Context,SiteCode,Specimen,Element,GLI,GLm,DI,Dm,Bd,GL,GD,GB,min.w.sh/midpoint w.shaft,max w.sh/th.shaft,Bp,DC,Td,BT,HTC,Dp,Dd,LA,SH,SB,MHP,MWP,DLS,Ld,SLC,GLP,BG,DPA,SDO,BPC,SD,GLpe,BFp,BFd,LG,LO,MBS
Edwards,Ayn Qasiyya A,,22,AQA,5,Phalanx1,,,,,8.12,40.31,,,,,9.15,,,,,,,,,,,,,,,,,,,,6.88,,,,,,
Edwards,Ayn Qasiyya A,,22,AQA,8,Phalanx2,,,,,7.46,20.93,,,,,8.53,,,,,,,,,,,,,,,,,,,,5.93,,,,,,
Edwards,Ayn Qasiyya A,,22,AQA,11,Scapula,,,,,,,,,,,,,,,,,,,,,,,,,,30.01,23.19,,,,,,,,23.26,,
Edwards,Ayn Qasiyya A,,22,AQA,12,Patella,,,,,,27.19,,19.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya A,,22,AQA,17,Astragalus,,24.74,14.75,,16.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya A,,22,AQA,22,Radius,,,,,22.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya A,,2,AQA,49,Phalanx1,,,,,8.80,42.54,,,,,9.19,,,,,,,,,,,,,,,,,,,,6.84,,,,,,
Edwards,Ayn Qasiyya A,,22,AQA,105,Astragalus,,25.08,15.16,,15.90,,,,,,16.09,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya A,,2,AQA,46a,Phalanx2,,,,,8.49,21.35,,,,,9.12,,,,,,,,,,,,,,,,,,,,6.56,,,,,,
Edwards,Ayn Qasiyya A,,2,AQA,46b,Phalanx2,,,,,7.58,21.87,,,,,8.89,,,,,,,,,,,,,,,,,,,,6.16,,,,,,
Edwards,Ayn Qasiyya A,,2,AQA,46c,Phalanx2,,,,,7.86,22.68,,,,,8.90,,,,,,,,,,,,,,,,,,,,6.42,,,,,,
Edwards,Ayn Qasiyya A,,2,AQA,46d,Phalanx2,,,,,8.27,23.08,,,,,8.66,,,,,,,,,,,,,,,,,,,,6.86,,,,,,
Edwards,Ayn Qasiyya A,,2,AQA,55a,Phalanx3,,,,,,,,,,,,,,,,,,,,,,,22.57,17.64,,,,,,,,,,,,,
Edwards,Ayn Qasiyya A,,22,AQA,78a,Phalanx1,,,,,8.68,41.23,,,,,9.62,,,,,,,,,,,,,,,,,,,,6.90,,,,,,
