Source,Site,Phase,Context,SiteCode,Specimen,Element,GL,GLm,GLc,GH,GLP,CAW,Bp,Bd,Bg,LA,GB,BT,LG,SLC,Dd,Dp,SD
Edwards,Ayn Qasiyya A,,22,AQA,34a,Humerus,,,,,,,,11.09,,,,,,,,,
Edwards,Ayn Qasiyya A,,22,AQA,34b,Humerus,,,,,,,,9.96,,,,,,,,,
Edwards,Ayn Qasiyya A,,22,AQA,34c,Humerus,,,,,,,,8.53,,,,,,,,,
Edwards,Ayn Qasiyya A,,22,AQA,113,Humerus,,,,,,,,9.48,,,,,,,,,
Edwards,Ayn Qasiyya A,,22,AQA,2800,Radius,,,,,,,7.58,,,,,,,,,,
Edwards,Ayn Qasiyya A,,22,AQA,41a,Radius,,,,,,,7.38,,,,,,,,,,
Edwards,Ayn Qasiyya A,,22,AQA,41b,Radius,,,,,,,7.11,,,,,,,,,,
Edwards,Ayn Qasiyya A,,22,AQA,128,Pelvis,,,,,,,,,,10.75,,,,,,,
Edwards,Ayn Qasiyya A,,22,AQA,74,Calcaneum,28.77,,,,,10.44,,,,,,,,,,,
Edwards,Ayn Qasiyya A,,22,AQA,120,Calcaneum,26.166,,,,,9.28,,,,,,,,,,,
Edwards,Ayn Qasiyya A,,22,AQA,127,Calcaneum,,,,,,8.28,,,,,,,,,,,
Edwards,Ayn Qasiyya A,,22,AQA,44,Metapodial,,,,,,,,4.52,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,3244,Scapula,,,,,12.21,,,,9.41,,,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,3238,Scapula,,,,,12.56,,,,9.4,,,,,,,,
Edwards,Ayn Qasiyya B,,1004-1,AQB,3177,Scapula,,,,,10.62,,,,8.6,,,,,,,,
Edwards,Ayn Qasiyya B,,1004.1,AQB,2897,Scapula,,,,,11.25,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1011-1,AQB,1747,Scapula,,,,,9.9,,,,8.78,,,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,3245,Scapula,,,,,10.41,,,,9.75,,,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,624,Humerus,,,,,,,,9.49,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004-1,AQB,2460,Humerus,,,,,,,,10.12,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004-1,AQB,1594,Humerus,,,,,,,,8.71,,,,,,,,,
Edwards,Ayn Qasiyya B,,1011-1,AQB,1824,Humerus,,,,,,,,8.88,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,1189,Humerus,,,,,,,,8.7,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,955,Humerus,,,,,,,,11.1,,,,,,,,,
