site_code,site_name,site_phase,context,lab_id,material,taxon,cra,error,d13C,outlier,reference
WJ9,Jilat 9,,1-2a,OxA-519,bone,,21150,400,,0,Garrard and Byrd 2013
WJ6_Lower,Jilat 6 (Lower),lower,1-14a,OxA-539,charcoal,,7980,150,,0,Garrard and Byrd 2013
WJ6_Middle,Jilat 6 (Middle),middle,4-12a,OxA-522,charcoal,,11740,180,,0,Garrard and Byrd 2013
WJ6_Middle,Jilat 6 (Middle),middle,2-12a,OxA-523,bone,,11450,200,,0,Garrard and Byrd 2013
WJ6_Upper,Jilat 6 (Upper),upper,3-9a,AA-5494,charcoal,,16700,140,,0,Garrard and Byrd 2013
WJ6_Upper,Jilat 6 (Upper),upper,4-8a,OxA-524,charcoal,,15520,200,,0,Garrard and Byrd 2013
WJ6_Upper,Jilat 6 (Upper),upper,1-8a,AA-5492,charcoal,,15470,130,,0,Garrard and Byrd 2013
WJ6_Upper,Jilat 6 (Upper),upper,1-7b,AA-5491,charcoal,,16575,120,,0,Garrard and Byrd 2013
WJ6_Upper,Jilat 6 (Upper),upper,1-5a,OxA-525,charcoal,,16010,200,,0,Garrard and Byrd 2013
WJ6_Upper,Jilat 6 (Upper),upper,2-3a,AA-5493,charcoal,,16695,120,,0,Garrard and Byrd 2013
WJ10,Jilat 10,,7-11b,OxA-520,charcoal,,14790,200,,0,Garrard and Byrd 2013
WJ10,Jilat 10,,43412,OxA-1000,charcoal,,13120,180,,0,Garrard and Byrd 2013
WJ10,Jilat 10,,43412,OxA-918,charcoal,,12700,300,,0,Garrard and Byrd 2013
WJ22_Lower,Jilat 22,lower,"1,4-17a",OxA-2410,charcoal,,13540,120,,0,Garrard and Byrd 2013
WJ22_Lower,Jilat 22,lower,"1,4-17a",OxA-2409,charcoal,,13490,110,,0,Garrard and Byrd 2013
WJ22_Middle,Jilat 22,middle,3-15b,OxA-1771,charcoal,,13040,180,,0,Garrard and Byrd 2013
WJ22_Middle,Jilat 22,middle,3-15b,OxA-1772,charcoal,,12840,140,,0,Garrard and Byrd 2013
WJ22_Upper,Jilat 22,upper,1-6b,OxA-1770,charcoal,,11920,180,,0,Garrard and Byrd 2013
WJ8,Jilat 8,,3-4d,OxA-636,bone,,10540,160,,1,Garrard and Byrd 2013
WJ8,Jilat 8,,3-4c,OxA-521,charcoal,,13310,120,,0,Garrard and Byrd 2013
WJ7,Jilat 7,lower,A-34b,OxA-1799,charcoal,,5840,100,,1,Garrard and Byrd 2013
WJ7,Jilat 7,lower,A-34a,OxA-2413,charcoal,,8390,80,,0,Garrard and Byrd 2013
WJ7,Jilat 7,middle,6-28a,OxA-526,charcoal,,8810,110,,0,Garrard and Byrd 2013
WJ7,Jilat 7,middle,8-25a,OxA-527,charcoal,,8520,110,,0,Garrard and Byrd 2013
WJ26,Jilat 26,,Ed-18a,OxA-2969,charcoal,,8740,110,,0,Garrard and Byrd 2013
WJ26,Jilat 26,,C-12a,OxA-2407,charcoal,,8720,100,,0,Garrard and Byrd 2013
WJ26,Jilat 26,,Cb-7a,OxA-1802,charcoal,,8690,110,,0,Garrard and Byrd 2013
WJ25,Jilat 25,,Aa-19a,OxA-2408,charcoal,,8020,80,,0,Garrard and Byrd 2013
WJ13,Jilat 13,lower,A-21a,OxA-1800,charcoal,,7920,100,,0,Garrard and Byrd 2013
WJ13,Jilat 13,lower,A-15a,OxA-1801,charcoal,,7870,100,,0,Garrard and Byrd 2013
WJ13,Jilat 13,upper,C-24,OxA-2411,charcoal,,7900,80,,0,Garrard and Byrd 2013
WJ13,Jilat 13,upper,C-22,UB-3462,charcoal,,7829,89,,0,Garrard and Byrd 2013
WJ27,Jilat 27,,E-41a,OxA-1812,charcoal,,5270,90,,1,Garrard and Byrd 2013
UW18_Lower,Uwaynid 18 (Lower),lower,9-19a,OxA-867,charcoal,,23200,400,,0,Garrard and Byrd 2013
UW18_Upper,Uwaynid 18 (Upper),upper,1-3k,OxA-868,charcoal,,19500,250,,0,Garrard and Byrd 2013
UW18_Upper,Uwaynid 18 (Upper),upper,5-15b,OxA-864,charcoal,,19800,350,,0,Garrard and Byrd 2013
UW14,Uwaynid 14,lower,43221,OxA-866,charcoal,,18400,250,,0,Garrard and Byrd 2013
UW14,Uwaynid 14,upper,42278,OxA-865,charcoal,,18900,250,,0,Garrard and Byrd 2013
AZ17,Azraq 17,lower,43415,OxA-869,charcoal,,13260,200,,0,Garrard and Byrd 2013
AZ31,Azraq 31,lower,43374,OxA-870,charcoal,,8350,120,,0,Garrard and Byrd 2013
AZ31,Azraq 31,upper,C-19b,OxA-2412,charcoal,,8275,80,,0,Garrard and Byrd 2013
AZ31,Azraq 31,upper,14-107,OxA-871,bone,,1280,90,,1,Garrard and Byrd 2013
DHW_PPNB,Dhuweila,Stage 1,2202/2133,OxA-1637,charcoal,,8350,100,,0,Betts et al. 1998
DHW_PPNB,Dhuweila,Stage 1,,BM-2349,,,8190,60,,0,Betts et al. 1998
DHW_LN,Dhuweila,Stage 2,4118,OxA-1729,charcoal,,7450,90,,0,Betts et al. 1998
DHW_LN,Dhuweila,Stage 2,4225,OxA-1728,charcoal,,7140,90,,0,Betts et al. 1998
DHW_LN,Dhuweila,Stage 2,2202/4217,OxA-1636,charcoal,,7030,90,,0,Betts et al. 1998
BQ35,Burqu 35,,112,OxA-2770,charcoal,,8270,80,,0,Garrard pers. comm. 2018
BQ35,Burqu 35,,208,OxA-2769,charcoal,,8180,80,,0,Garrard pers. comm. 2018
BQ35,Burqu 35,,207,OxA-2768,charcoal,,8140,90,,0,Garrard pers. comm. 2018
BQ27,Burqu 27,,142,OxA-2766,charcoal,,7930,80,,0,Garrard pers. comm. 2018
BQ27,Burqu 27,,141,OxA-2765,charcoal,,7350,80,,0,Garrard pers. comm. 2018
