Source,Site,Phase,Context,SiteCode,Specimen,Element,GL,GLl,GLm,GB,Bd,Dd,Dc,Bp,SD,BT,HTC,DT,Dp,LA,SH,SB,S circum ilium,MH Pub,MW Pub,BF cr,BF cd,GLF,H,GLP,LG,BG,SLC
Edwards,Ayn Qasiyya A,,22,AQA,2788,Femur,,,,,,,11.29,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya A,,22,AQA,129a,Metapodial,,,,,5.55,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya A,,22,AQA,129b,Metapodial,,,,,6.81,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,765,Phalanx1,17.08,,,,5.04,,,6.48,3.52,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1011-1,AQB,1301,Femur,,,,,16.15,,,,,,,,,,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1011-1,AQB,1762,Pelvis,,,,,,,,,,,,,,11.53,,,,,,,,,,,,,
Edwards,Ayn Qasiyya B,,1004,AQB,2812,Tibia,,,,,,,,17.25,,,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),5,216,DHW_PPNB,43,Scapula,,,,,,,,,,,,,,,,,,,,,,,,14.6,,8.3,13.6
Martin,Dhuweila (PPNB),5 1,218,DHW_PPNB,54,Pelvis,,,,,,,,,,,,,,12.1,4.9,9,25.7,,,,,,,,,,
Martin,Dhuweila (PPNB),3 1,2210,DHW_PPNB,150,Pelvis,,,,,,,,,,,,,,12.4,3.6,10.2,27.7,2.8,3.7,,,,,,,,
Martin,Dhuweila (PPNB),3 1,2210,DHW_PPNB,151,Humerus,,,,,16.5,11.7,,,,11.7,,,,,,,,,,,,,,,,,
Martin,Dhuweila (PPNB),2,4220,DHW_PPNB,,Radius,,,,,12.5,,,10.1,,,,,6.2,,,,,,,,,,,,,,
Martin,Kharaneh IV (A–D),,21027,KHIV,235,Atlas,20.9,,,,,,,,,,,,,37.9,,,,,,,,,,,,,
Martin,Kharaneh IV (A–D),,21114,KHIV,865,Atlas,20.8,,,,,,,,,,,,,,,,,,,26.2,20.5,19.2,17,,,,
Martin,Kharaneh IV (A–D),,21170,KHIV,1239,Phalanx1,18.8,,,,,,,5.3,,,,,,,,,,,,,,,,,,,
Martin,Kharaneh IV (A–D),,21170,KHIV,1240,Phalanx1,14.2,,,,,,,4.9,,,,,,,,,,,,,,,,,,,
Martin,Kharaneh IV (A–D),,21170,KHIV,1241,Phalanx2,10.3,,,,,,,5.4,,,,,,,,,,,,,,,,,,,
Martin,Kharaneh IV (A–D),,21182,KHIV,1294,Metatarsal,47.8,,,,4.9,,,,,,,,,,,,,,,,,,,,,,
Martin,Kharaneh IV (A–D),,21191,KHIV,1369,Phalanx2,12.6,,,,,,,4.2,,,,,,,,,,,,,,,,,,,
Martin,Kharaneh IV (A–D),,21195,KHIV,1381,Phalanx2,12.2,,,,,,,5.6,,,,,,,,,,,,,,,,,,,
Martin,Kharaneh IV (A–D),,21225,KHIV,1559,Metacarpal,27.8,,,,4.9,,,,,,,,,,,,,,,,,,,,,,
Martin,Kharaneh IV (A–D),,21230,KHIV,1615,Metacarpal,38,,,,7.1,,,,,,,,,,,,,,,,,,,,,,
Martin,Kharaneh IV (A–D),,21230,KHIV,1616,Phalanx1,16.4,,,,5,,,6.8,3.9,,,,,,,,,,,,,,,,,,
Martin,Kharaneh IV (A–D),,21231,KHIV,1621,Phalanx1,21.7,,,,4.5,,,5.7,3.2,,,,,,,,,,,,,,,,,,
Martin,Kharaneh IV (A–D),,21241,KHIV,1697,Phalanx1,21.2,,,,4.8,,,5.9,3.3,,,,,,,,,,,,,,,,,,
Martin,Kharaneh IV (A–D),,21230,KHIV,1860,Phalanx1,16.4,,,,5.3,,,6.8,3.9,,,,,,,,,,,,,,,,,,
Martin,Kharaneh IV (A–D),,21262,KHIV,1883,Phalanx1,21.7,,,,4.8,,,5.8,3.5,,,,,,,,,,,,,,,,,,
Martin,Kharaneh IV (A–D),,21272,KHIV,1973,Phalanx1,21.9,,,,4.5,,,5.9,3.3,,,,,,,,,,,,,,,,,,
