Source,Specimen,Taxon,Sex,Age,Element,GLI,GLm,DI,Dm,Bd,GL,GD,GB,min.w.sh/midpoint w.shaft,max w.sh/th.shaft,Bp,DC,Td,BT,HTC,Dp,Dd,LA,SH,SB,MHP,MWP,DLS,Ld,SLC,GLP,BG,DPA,SDO,BPC,SD,GLpe,BFp,BFd,LG,LO,MBS
Natural History Museum,NHM 1976.433,Gazella subgutturosa,M,6-8 years,Scapula,,,,,,,,,,,,,,,,,,,,,,,,,15.835,30.565,22.225,,,,,,,,,,
Natural History Museum,NHM 1976.433,Gazella subgutturosa,M,6-8 years,Humerus,,,,,28.78,138.7,,,,,,,,24.92,14.93,,,,,,,,,,,,,,,,,,,,,,
Natural History Museum,NHM 1976.433,Gazella subgutturosa,M,6-8 years,Radius,,,,,,157,,,,,27.03,,,,,14.42,,,,,,,,,,,,,,,,,,,,,
Natural History Museum,NHM 1976.433,Gazella subgutturosa,M,6-8 years,Ulna,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.71,16.84,,,,,,,,
Natural History Museum,NHM 1976.433,Gazella subgutturosa,M,6-8 years,Metacarpal,,,,,20.84,,,,,,22.1,,,,,15.88,,,,,,,,,,,,,,,,,,,,,
Natural History Museum,NHM 1976.433,Gazella subgutturosa,M,6-8 years,Pelvis,,,,,,,,,,,,,,,,,,25.96,16.57,8.96,,,,,,,,,,,,,,,,,
Natural History Museum,NHM 1976.433,Gazella subgutturosa,M,6-8 years,Femur,,,,,35.73,171,,,,,46.4,32.37,,,,,,,,,,,,,,,,,,,,,,,,,
Natural History Museum,NHM 1976.433,Gazella subgutturosa,M,6-8 years,Tibia,,,,,25.02,,,,,,38.44,,,,,,19.55,,,,,,,,,,,,,,,,,,,,
Natural History Museum,NHM 1976.433,Gazella subgutturosa,M,6-8 years,Astragalus,27.34,25.02,16.15,16.01,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natural History Museum,NHM 1976.433,Gazella subgutturosa,M,6-8 years,Calcaneus,,,,,,57.89,,19.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natural History Museum,NHM 1976.433,Gazella subgutturosa,M,6-8 years,Navicular-cuboid,,,,,,,,20.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natural History Museum,NHM 1976.433,Gazella subgutturosa,M,6-8 years,Metatarsal,,,,,21.61,,,,,,19.74,,,,,22.43,,,,,,,,,,,,,,,,,,,,,
Natural History Museum,NHM 1976.433,Gazella subgutturosa,M,6-8 years,Phalanx1,,,,,9.03625,,,,,,11.68777778,,,,,,,,,,,,,,,,,,,,,39.845,,,,,
Natural History Museum,NHM 1976.433,Gazella subgutturosa,M,6-8 years,Phalanx2,,,,,8.59,,,,,,9.296666667,,,,,,,,,,,,,,,,,,,,,22.13333333,,,,,
Natural History Museum,NHM  1976.434,Gazella subgutturosa,F,,Scapula,,,,,,,,,,,,,,,,,,,,,,,,,15.85,29.01,20.79,,,,,,,,,,
Natural History Museum,NHM  1976.434,Gazella subgutturosa,F,,Humerus,,,,,26.21,136.47,,,,,,,,23.83,13.32,,,,,,,,,,,,,,,,,,,,,,
Natural History Museum,NHM  1976.434,Gazella subgutturosa,F,,Radius,,,,,21.14,156,,,,,25.98,,,,,,,,,,,,,,,,,,,,,,,,,,
Natural History Museum,NHM  1976.434,Gazella subgutturosa,F,,Ulna,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.86,16.5,,,,,,,,
Natural History Museum,NHM  1976.434,Gazella subgutturosa,F,,Metacarpal,,,,,18.55,,,,,,20.23,,,,,15.5,,,,,,,,,,,,,,,,,,,,,
Natural History Museum,NHM  1976.434,Gazella subgutturosa,F,,Femur,,,,,34.37,171,,,,,42.67,29.87,,,,,,,,,,,,,,,,,,,,,,,,,
Natural History Museum,NHM  1976.434,Gazella subgutturosa,F,,Patella,,,,,,25.52,,21.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natural History Museum,NHM  1976.434,Gazella subgutturosa,F,,Tibia,,,,,21.99,,,,,,36.47,,,,,,18.25,,,,,,,,,,,,,,,,,,,,
Natural History Museum,NHM  1976.434,Gazella subgutturosa,F,,Astragalus,26.51,24.61,14.81,14.91,15.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natural History Museum,NHM  1976.434,Gazella subgutturosa,F,,Calcaneus,,,,,,57.42,,18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natural History Museum,NHM  1976.434,Gazella subgutturosa,F,,Navicular-cuboid,,,,,,,,20.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natural History Museum,NHM  1976.434,Gazella subgutturosa,F,,Metatarsal,,,,,20.33,,,,,,19.18,,,,,20.76,,,,,,,,,,,,,,,,,,,,,
Natural History Museum,NHM  1976.434,Gazella subgutturosa,F,,Phalanx1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.375,,,,,
Natural History Museum,NHM  1976.434,Gazella subgutturosa,F,,Phalanx2,,,,,8.36375,,,,,,9.79125,,,,,,,,,,,,,,,,,,,,,,,,,,
